role,task,grade
Procurement Officer,Supporting the development of local procurement and contract management skill,HEO
Economist,"Act as the economic leads for the BOLD programme, and support the MoJ’s Data Improvement Programme where necessary.",G7
Economist,"Develop and deliver the VfM assessment of BOLD, both at programme-level and demonstrator pilot-level.",G7
Economist,"Work closely within our cross-disciplinary teams of policy, operational and data science colleagues.",G7
Economist,"Develop the economic case for the Spending Review, working with strategy colleagues.",G7
Economist,Build relationships with a range of stakeholders to develop a longer-term economic capability for the data function beyond 2024/25.,G7
Economist,Work collaboratively across MoJ and other departments to explore new and innovative ways of assessing VfM of data linking programmes/value of linked data.,G7
Economist,Work flexibly to support the wider analytical team within BOLD: promote and champion BOLD at conferences and stakeholder events.,G7
Statistician,"Support the delivery of ongoing workstreams in relation to nutrition, food waste, sleep, wastewater monitoring, and illicit drug detection.",SEO
Statistician,Communicate and influence project stakeholders effectively.,SEO
Statistician,Deliver conflicting demands at pace.,SEO
Statistician,Make effective decisions regarding the development of projects.,SEO
Statistician,Build strong relationships inside and outside of the department.,SEO
Statistician,"Deliver through collaboration with multiple partners, including senior officials, other Government departments, academia, and industry.",SEO
Statistician,"Support the Science Delivery Lead and other colleagues in reviewing, critiquing, and developing new project ideas.",SEO
Statistician,"Scope, pilot, and deliver new technologies and research projects.",SEO
Research Officer,"Supporting a range of new and emerging research priorities across the team, which improve the use of evidence and evaluation across government.",HEO
Research Officer,"Overseeing the management of the UK Government’s Evaluation and Trial Advice Panel, which connects project teams in departments to our panel of evaluation experts from industry, academia and government.",HEO
Research Officer,Leading on monitoring and reporting on our team’s engagement with departments.,HEO
Research Officer,Prepare monthly updates for Cabinet Office Ministers about the work of the Evaluation Task Force,HEO
Research Officer,Supporting the team to commission and oversee high-priority evaluations such as for the Evaluation Accelerator Fund and Labour Market Evaluation and Pilots Fund.,HEO
Research Officer,Developing and publishing resources and materials on our team’s website for cross-government and wider public audiences.,HEO
Research Officer,Leading on the delivery of events to promote the value of evaluation to cross-government audiences.,HEO
